,Prum_name,humerus,radius,carpometacarpus,femur,tibiotarsus,tarsometatarsus,ontogeny,Genus,Species,Family,Order,Mass_M_.hbw_alive.,Mass_F_.hbw_alive.,R_name
1,Acanthisitta_chloris,9.85092198492625,11.991022802182,6.85831465264799,8.83533153249951,22.8111076481774,20.2451804487937,Altricial_2,Acanthisitta,chloris,Acanthisittidae,Passeriformes,6,7,Acanthisitta_chloris_YPM_125219
2,Accipiter_superciliosus,59.6918683190386,65.4169604869689,35.6750629077574,52.7361496362087,69.5091080773921,62.1442132312409,Semialtricial,Accipiter,nisus,Accipitridae,Accipitriformes,150.5,272.5,Accipiter_nisus_NHMUK_S1982.149.1
3,Alcedo_quadribrachys,23.6154350074127,27.4128073420279,11.86227845313,15.3231640928292,22.969975050362,8.72899731302757,Altricial_2,Alcedo,atthis,Alcedinidae,Coraciiformes,29,32.5,Alcedo_atthis_NHMUK_S_1994.7.1
4,Anas_superciliosa,59.3705791006933,46.4275511947248,34.6205794663995,30.586893551409,51.0280261379561,27.8054322312829,Precocial_1,Anas,discors,Anatidae,Anseriformes,431,366,Anas_discors_NHMUK_S2001.41.5
5,Anhinga_anhinga,119.231143678721,100.841043856218,57.0356498497191,53.0050185630062,79.7203220929557,35.7855744498801,Altricial_2,Anhinga,anhinga,Anhingidae,Suliformes,1085,1085,Anhinga_anhinga_FMNH_491374
6,Anser_canagicus,151.721871151004,131.182845185894,74.0214400830826,71.9484940078612,123.759620918747,71.0451994742513,Precocial_1,Anser,fabalis,Anatidae,Anseriformes,3375,2845,Anser_fabalis_NHMUK_1895.2.6.9_
7,Anseranas_semipalmata,162.44399412542,150.082437246337,69.3890048829728,81.0204922504079,136.136692050159,85.7984454331152,Precocial_1,Anseranas,semipalmata,Anseranatidae,Anseriformes,2516.5,2516.5,Anseranas semipalmata NHMUK 1852.7.22.1
8,Apaloderma_aequatoriale,28.8574237739698,28.4738746134168,15.3047969550941,20.0280946054722,27.8284170845745,13.9495542438083,Altricial_2,Apaloderma,narino, Trogonidae,Trogoniformes,73,73,Apaloderma_narino_FMNH_290897_
9,Aramus_guarauna,100.182951217892,100.892655335945,49.633919445471,75.4453723365524,164.758810699024,130.995447733193,Altricial_1,Aramus,guarauna,Aramidae,Gruiformes,1250,1025,Aramus_guarauna_FMNH_376078
10,Archilochus_colubris,3.63583849313214,3.39080360334098,5.20181498553302,6.86715537296285,10.0255380351413,4.08279747014708,Altricial_2,Archilochus,colubris,Trochilidae,Apodiformes,3,3.3,Archilochus_colubris_FMNH_484738
11,Ardea_herodias,161.661600181404,181.233609771486,83.0520103965713,84.8201855661128,222.185148726461,179.64742665451,Semialtricial,Ardea,alba,Ardeidae,Pelecaniformes,1200,1200,Ardea_alba_UMZC_338H
12,Ardeotis_kori,206.590112140481,218.784402830549,90.2085355458264,108.112565798824,233.461379447822,194.302158621007,Precocial_3,Choriotis,kori,Otididae,Otidiformes,14950,5900,Choriotis_kori_UMMZ_210444
13,Arenaria_interpres,35.7153974595681,36.9922397287948,19.5041373273573,26.49035994115,43.9609308241765,24.8592022282195,Precocial_1,Arenaria,interpres,Scolopacidae,Charadriiformes,137,137,Arenaria_interpres_FMNH_313992
14,Aythya_valisineria,82.1298361275944,67.6969233221287,42.6406570359672,42.8043934079212,75.91114898661,35.8152341555179,Precocial_1,Aythya,ferina,Anatidae,Anseriformes,912.5,778.5,Aythya_ferina_NMHUK_1851.12.23.15
15,Balaeniceps_rex,246.83812502467,274.254923063678,101.578851970656,130.093949304651,308.862227408269,232.9938743287,Semialtricial,Balaeniceps,rex,Balaenicipitidae,Pelecaniformes,6700,5130,Balaeniceps_rex_NHMUK_S1952.1.100
16,Balearica_regulorum,210.384982582112,220.135617704626,88.8640195120992,104.469330423234,284.750878450474,209.956178276034,Precocial_3,Balearica,pavonina,Gruidae,Gruiformes,3500,3500,Balearica_pavonina_NHMUK_1859.10.26.5_ROGER
17,Barnardius_zonarius,33.2973911673041,35.6674009342503,22.8756709412444,27.6848214343522,41.0294293399048,17.8937205588134,Altricial_2,Barnardius,zonarius,Psittaculidae,Psittaciformes,152.5,152.5,Barnardius_zonarius_NHMUK_S_1983.5.1
18,Bonasa_umbellus,41.5699695701047,35.8232881680612,23.6780933917194,47.5785080739735,63.6735748781979,32.3469031902388,Precocial_2,Bonasa,umbellus,Phasianidae,Galliformes,720,540,Bonasa_umbellus_FMNH_348972
19,Bucco_capensis,26.9955236697498,29.2985242240704,12.1349365893805,17.7071535423275,26.5022841186747,15.8321955592276,Altricial_2,Bucco,capensis,Bucconidae,Piciformes,54,54,Bucco_capensis_FMNH_330305
20,Bucorvus_leadbeateri,141.87602899307,175.672535332492,69.1508429688471,94.4573985851885,164.217343532292,132.153510538381,Altricial_2,Bucorvus,abyssinicus,Bucorvidae,Bucerotiformes,4000,4000,Bucorvus_abyssinicus_NHMUK_S2006.31.20_
21,Burhinus_oedicnemus,68.4135395858896,71.5072166029184,32.5494368564597,42.4336383287397,87.8511246078324,70.3906001459847,Semiprecocial,Burhinus,senegalensis,Burhinidae, Charadriiformes,334.5,334.5,Burhinus_senegalensis_FMNH_313704
22,Buteo_jamaicensis,113.65977690705,125.258376957706,62.2734039082109,80.9262914639271,112.276362555424,84.4572548139217,Semialtricial,Buteo,rufofuscus,Accipitridae,Accipitriformes,972.5,1422.5,Buteo_rufofuscus_NHMUK_1862.1.18.1
23,Calandrella_brachydactyla,18.9029065712061,21.0574271895272,12.8459140991047,14.962655729782,25.1701696425421,19.3675612349415,Altricial_2,Calandrella,cinerea,Alaudidae,Passeriformes,23,23,Calandrella_cinerea_NHMUK_S1961.13.34
24,Calyptomena_viridis,25.2843164187548,29.7110109102211,15.7508569137061,22.6235141219683,32.4261129230369,19.7656166912536,Altricial_2,Calyptomena,viridis,Calyptomenidae,Passeriformes,57.9,57.9,Calyptomena_viridis_NHMUK_s1969.1.70
25,Capito_niger,22.5491137981953,25.1725641772894,11.9744084770609,21.6907574466327,37.9460303446847,22.7466997749372,Altricial_2,Capito,niger,Capitonidae,Piciformes,54.5,54.5,Capito_niger_FMNH_321049
26,Caprimulgus_europaeus,32.1828763448201,36.1424718829744,18.8958121774946,20.3087058658249,28.6035825023438,14.8262149303229,Semialtricial,Caprimulgus,macrurus,Caprimulgidae, Caprimulgiformes,66.5,68.5,Caprimulgus_macrurus_FMNH_392245
27,Caracara_cheriway,102.697175803869,100.954822230533,56.8734521518589,64.9811291217474,105.916186992259,85.9594721143052,Semialtricial,Caracara,cheriway,Falconidae,Falconiformes,1106,1211,Caracara_cheriway_UMMZ_133664
28,Cariama_cristata,106.317825044522,91.7659393763148,46.7425112240967,82.4642012703337,218.536517463324,198.773766379711,Semialtricial,Cariama,cristata,Cariamidae,Cariamiformes,1862.5,1862.5,Cariama_cristata_FMNH_105653
29,Cathartes_burrovianus,138.182353239401,150.520836860405,72.4198490852284,60.9505435954084,105.803141923369,60.9085793597538,Semialtricial,Cathartes,burrovianus,Cathartidae,Accipitriformes,1185,1255,Cathartes_burrovianus_UMMZ_227466
30,Pipra_erythrocephala,14.6688186872641,17.2544281896586,9.42098420528728,13.2745423691261,18.8616778776843,13.6328354083067,Altricial_2,Pipra,erythrocephala, Pipridae,Passeriformes,12.8,14.1,Pipra_erythrocephala_UMMZ_157210
31,Chaetura_brachyura,7.93532246668287,10.0333429084512,12.9220279758047,13.7636560262115,19.5772340915886,9.78185485993482,Altricial_2,Chaetura,pelagica,Apodidae,Apodiformes,23.5,23.5,Chaetura_brachyrua_UMMZ_157689
32,Charadrius_hiaticula,37.6608570616673,40.6675685917957,23.4573817700338,25.8594440472744,49.962389736894,35.5577400883479,Precocial_1,Charadris,vociferus,Charadriidae,Charadriiformes,96.5,96.5,Charadris_vociferus_FMNH_470173
