,Order,Family,Species,JetzTreeName,Humerus_length_mm,Ulna_length_mm,Radius_length_mm,Carpometacarpus_length_mm,Femur_length_mm,Tibiotarsus_length_mm,Tarsometatarsus_length_mm,Spec_no.,Reference,Body_mass_g,Foraging_niche,TrophicEcology,Habitat,Kipps.dist,Ontogeny,Magnificent7
1,Accipitriformes,Accipitridae,Aquila_chrysaetos,Aquila_chrysaetos,189.8,209.9,219.3,102.9,127.4,168.8,104.6,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-725",4248,Vertivore air to surface,Vertivore,Grassland,221.2,Semialtricial,Telluraves
2,Cathartiformes,Cathartidae,Cathartes_aura,Cathartes_aura,150,177.6,169.5,82.8,69.8,119.3,64.5,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-726",1518.2,Scavenger ground,Scavenger,Human Modified,135.6,Semialtricial,Telluraves
3,Cathartiformes,Cathartidae,Sarcoramphus_papa,Sarcoramphus_papa,169,210,197,89,100,165,99,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-727",3400,Scavenger ground,Scavenger,Forest,191.6,Semialtricial,Telluraves
4,Cathartiformes,Cathartidae,Gymnogyps_californicus,Gymnogyps_californianus,226,308,293,132,138.5,210,114.7,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-728",8442.7,Scavenger ground,Scavenger,Shrubland,323.5,Semialtricial,Telluraves
5,Cathartiformes,Cathartidae,Vultur_gryphus,Vultur_gryphus,280,340.6,326,139.5,153.1,243,130.1,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-729",11236.1,Scavenger ground,Scavenger,Grassland,350.5,Semialtricial,Telluraves
6,Cathartiformes,Cathartidae,Coragyps_atratus,Coragyps_atratus,134,156,146,75,85.8,141.5,82,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-730",1881.7,Scavenger ground,Scavenger,Human Modified,58.4,Semialtricial,Telluraves
7,Charadriiformes,Alcidae,Aethia_cristatella,Aethia_cristatella,50.6,43.9,41.5,29,34.8,58.4,26.7,USNM_561934,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",259.4,Aquatic dive,Aquatic predator,Marine,61,Semiprecocial,Cursorimorphae
8,Charadriiformes,Alcidae,Aethia_psittacula,Aethia_psittacula,53.3,48.5,46.5,30,32.5,58.1,28.1,NCSM_14804,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",270,Aquatic dive,Aquatic predator,Marine,60.2,Semiprecocial,Cursorimorphae
9,Charadriiformes,Alcidae,Aethia_pusilla,Aethia_pusilla,35.6,30.5,29.1,20,22.4,41.1,19.8,NCSM_224009,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",84,Aquatic dive,Aquatic predator,Marine,37.7,Semiprecocial,Cursorimorphae
10,Charadriiformes,Alcidae,Aethia_pygmaea,Aethia_pygmaea,37.8,32.2,30.5,21.2,26.9,45.3,21.8,UMMZ_204592,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",112,Aquatic dive,Aquatic predator,Marine,45.8,Semiprecocial,Cursorimorphae
11,Charadriiformes,Alcidae,Alca_torda,Alca_torda,79.9,63.6,61.5,42.6,43,79.8,36,USNM_555666,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",726,Aquatic dive,Aquatic predator,Marine,116.5,Semiprecocial,Cursorimorphae
12,Charadriiformes,Alcidae,Alle_alle,Alle_alle,41.6,34.1,31.8,21.8,26.8,47.5,20.4,USNM_560932,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",180.7,Aquatic dive,Aquatic predator,Marine,59.5,Semiprecocial,Cursorimorphae
13,Charadriiformes,Alcidae,Cepphus_columba,Cepphus_columba,68.8,58.2,55.2,39.3,40.4,75.6,38.3,USNM_610936,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",530,Aquatic dive,Aquatic predator,Marine,69.2,Semiprecocial,Cursorimorphae
14,Charadriiformes,Alcidae,Cepphus_grylle,Cepphus_grylle,57.8,49.4,47,33,35,62.8,30,USNM_344753,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",378,Aquatic dive,Aquatic predator,Marine,66.5,Semiprecocial,Cursorimorphae
15,Charadriiformes,Alcidae,Fratercula_arctica,Fratercula_arctica,67.2,52.9,51.2,35.5,40.3,67.9,28.7,USNM_292346,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",593,Aquatic dive,Aquatic predator,Marine,83.8,Semiprecocial,Cursorimorphae
16,Charadriiformes,Alcidae,Ptychoramphus_aleuticus,Ptychoramphus_aleuticus,44.8,38.5,36.8,25.5,27.9,50.6,25.6,USNM_557611,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",184,Aquatic dive,Aquatic predator,Marine,49.2,Semiprecocial,Cursorimorphae
17,Charadriiformes,Alcidae,Uria_aalge,Uria_aalge,84.1,64.3,61.4,43.6,48.2,97,40.5,USNM_502349,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",991.9,Aquatic dive,Aquatic predator,Marine,111.2,Semiprecocial,Cursorimorphae
18,Charadriiformes,Alcidae,Uria_lomvia,Uria_lomvia,87.6,69.4,66.6,44.3,45.7,86.8,36.6,USNM_502358,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",964,Aquatic dive,Aquatic predator,Marine,106.8,Semiprecocial,Cursorimorphae
19,Struthioniformes,Apterygidae,Apteryx_owenii,Apteryx_owenii,39.2,NA,17.6,5.1,80.4,113.7,62.9,MCZ_308,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1238.3,Invertivore ground,Invertivore,Forest,0.1,Precocial_1,Palaeognathae
20,Struthioniformes,Struthionidae,Struthio_camelus,Struthio_camelus,395,NA,120,100,320,545,483,MCZ_2686,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",111000,NA,Omnivore,Shrubland,0.3,Precocial_2,Palaeognathae
21,Struthioniformes,Rheidae,Rhea_americana,Rhea_americana,260,NA,184,77,210,318,325,MCZ_2083,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",23000,NA,Omnivore,Grassland,0.3,Precocial_2,Palaeognathae
22,Struthioniformes,Casuariidae,Casuarius_bennetti,Casuarius_bennetti,69,NA,39,22,203,320,250,MCZ_display,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",35000,Fugivore ground,Frugivore,Forest,0.2,Precocial_1,Palaeognathae
